"MonthlyPrice","PriceChange","PriceDirection","EU_cPrice","AcitivityIndex","Oil_Price","NatGas_Price","ER_USCAD","carbon.credit","carbon.price","alberta.carbon"
24.79,NA,0,22.9685714285714,271.423095075649,53.79,3.10033333333333,1.3301,5,11,33
24.38,-0.409999999999997,0,20.8427777777778,268.423959113565,57.22,2.68257894736842,1.3206,9,11,23
21.5,-2.88,0,21.8131578947368,271.042442125472,60.14,2.8063,1.3368,39,19,44
19.597619047619,-1.90238095238095,0,25.51,278.337051716348,63.91,2.6037619047619,1.3378,37,27,93
22.0581818181818,2.46056277056277,1,25.51875,277.624195456479,53.5,2.59240909090909,1.3459,8,18,53
23.28,1.22181818181818,1,24.929375,275.818783108509,58.47,2.33035,1.3287,5,15,54
24.12,0.84,1,27.9104761904762,275.91647600446,58.58,2.30309090909091,1.3101,7,14,31
24.89,0.77,1,27.1110526315789,275.060096874256,55.1,2.17295454545455,1.3277,5,12,14
25,0.109999999999999,1,25.6994444444444,275.247031131778,54.07,2.51955,1.3241,5,15,18
25,0,0,24.442,274.248990060688,54.18,2.33926086956522,1.319,6,16,29
25,0,0,24.5447368421053,270.825742690292,55.17,2.63485714285714,1.3239,6,13,17
25,0,0,24.587,274.540564163293,61.06,2.29171428571429,1.3172,6,13,48
25.575,0.574999999999999,1,24.3494117647059,272.119830746406,51.56,2.02995238095238,1.3087,9,13,42
26.6,1.025,1,23.885,273.828437599612,47.09,1.84342105263158,1.3286,10,13,52
27.4586363636364,0.858636363636368,1,19.8684210526316,257.342634981058,20.48,1.73118181818182,1.3953,11,11,36
27.2933333333333,-0.165303030303036,0,20.0970588235294,236.148399829196,18.84,1.75933333333333,1.4058,9,15,24
27.68,0.386666666666667,1,19.5421428571429,240.090465655961,35.49,1.80915,1.397,6,13,15
27.99,0.309999999999999,1,23.2515789473684,248.338693217684,39.27,1.70309090909091,1.355,5,15,16
28,0.0100000000000016,1,27.352380952381,258.716778711444,40.27,1.76495454545455,1.3499,5,13,12
28.0161290322581,0.0161290322580641,1,26.5361111111111,256.514689395694,42.61,2.34347619047619,1.3222,3,11,11
